mes,año,latitud(º),longitud(º),profundidad_km,cluster_Kmeans,cluster_Kmedoids
9,1993,-12.43,-76.43,100.0,1,1
9,2011,-12.1162,-76.0678,110.0,1,1
9,1991,-10.73,-77.14,84.0,2,4
6,1998,-12.7906,-75.5881,109.0,1,1
4,1995,-11.12,-76.74,9.0,0,5
2,1987,-12.5,-76.69,46.0,2,0
10,1974,-12.472,-76.615,56.0,2,0
11,2010,-12.1328,-75.8608,109.0,1,1
7,1945,-13.0,-76.2,80.0,3,2
8,2019,-11.6909,-77.0693,88.0,1,3
10,2005,-12.7269,-76.6411,65.0,2,4
10,1974,-12.535,-76.595,44.0,0,0
12,2012,-11.4436,-77.0409,97.0,1,3
5,1986,-12.26,-76.46,44.0,0,0
1,1993,-13.05,-76.5,70.0,2,4
10,1955,-11.295,-76.608,30.0,0,5
4,2014,-12.9987,-76.1842,55.0,2,0
6,1995,-11.54,-76.94,60.0,2,0
1,2014,-12.2535,-76.6344,91.0,1,3
6,2016,-12.045,-76.6462,96.0,1,3
8,2020,-12.394,-76.7841,65.0,2,4
7,2006,-11.4469,-77.317,80.0,2,4
11,1986,-10.74,-77.14,101.0,1,1
6,2003,-12.218,-75.8277,111.0,1,1
10,2020,-12.1714,-76.9394,63.0,2,4
10,1974,-12.486,-76.749,58.0,2,0
6,2004,-13.1529,-76.3565,74.0,2,4
6,1995,-12.36,-76.74,78.0,2,4
6,1994,-12.69,-76.63,32.0,0,5
8,1948,-12.6,-76.5,80.0,3,2
10,1999,-12.4145,-76.6491,75.0,2,4
9,1986,-12.4,-76.79,35.0,0,5
9,2010,-10.6636,-76.6867,102.0,1,3
11,1995,-12.99,-76.08,26.0,0,5
8,1990,-12.46,-76.7,51.0,2,0
6,2002,-11.5202,-76.407,16.0,0,5
3,2022,-11.428,-76.9015,100.0,1,3
5,1989,-12.89,-76.12,110.0,1,1
5,1998,-12.4496,-75.6792,111.0,1,1
6,2021,-11.5869,-76.8539,109.0,1,3
6,2000,-11.7074,-76.7952,23.0,0,5
7,1994,-11.64,-76.2,142.0,1,1
10,1974,-12.49,-76.667,57.0,2,0
2,2006,-12.1135,-76.4465,89.0,1,3
10,1974,-12.495,-76.734,53.0,2,0
5,2018,-12.1352,-75.8215,121.0,1,1
9,1990,-12.43,-76.57,49.0,2,0
6,2015,-11.4701,-76.3996,102.0,1,3
6,1991,-12.04,-76.19,41.0,0,0
8,2022,-12.3669,-76.9715,64.0,2,4
12,2016,-11.4293,-77.3915,79.0,2,3
5,1991,-11.59,-77.31,13.0,0,5
9,2017,-12.3359,-75.9732,117.0,1,1
8,1990,-11.63,-76.83,107.0,1,1
10,1974,-12.472,-76.638,61.0,2,0
8,2017,-12.125,-76.4176,98.0,1,3
10,1974,-12.797,-76.37,25.0,0,5
4,2004,-12.3758,-76.6059,67.0,2,4
3,1994,-12.38,-76.94,44.0,0,0
10,1994,-12.98,-75.89,132.0,1,1
1,1950,-13.0,-76.2,90.0,3,2
4,1999,-12.8525,-76.0469,96.0,1,1
9,2016,-11.2776,-76.6063,121.0,1,1
6,1990,-11.95,-76.34,57.0,2,0
1,1996,-12.1663,-76.6314,74.0,2,4
4,2015,-11.2958,-76.9566,115.0,1,1
10,1991,-13.19,-76.23,62.0,2,0
7,2010,-12.9853,-76.0485,91.0,1,3
7,1997,-12.5768,-76.6675,35.0,0,5
6,2012,-13.0393,-76.2025,96.0,1,3
7,2018,-12.2675,-76.8738,83.0,1,3
10,2003,-12.11,-76.7372,76.0,2,4
5,1998,-11.8102,-76.6397,107.0,1,1
9,1988,-11.99,-77.1,73.0,2,4
12,1986,-13.08,-76.16,65.0,2,0
1,2008,-13.1909,-76.1988,84.0,1,4
8,1986,-11.98,-76.53,71.0,2,4
9,2016,-12.6916,-76.5208,96.0,1,3
7,2002,-13.0777,-76.3662,73.0,2,4
8,1993,-10.98,-77.43,38.0,0,0
4,2017,-11.1772,-76.8132,112.0,1,1
2,1988,-13.2,-76.26,75.0,2,4
10,1949,-13.0,-76.2,90.0,3,2
12,1984,-12.13,-75.88,72.0,2,4
3,1987,-12.15,-76.33,125.0,1,1
9,1995,-12.49,-76.49,33.0,0,5
8,2014,-10.3376,-77.0229,121.0,1,1
12,1986,-10.99,-76.72,25.0,0,5
