"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"23/09/1945","11:05:00.00","-13","-76.2","80","4.2","",""
"25/09/1945","17:45:00.00","-13","-76.2","80","4.7","",""
"29/09/1945","04:27:46.00","-6.436","-77.125","20","5.6","6.1",""
"30/09/1945","01:43:00.00","-16.5","-72.1","35","3.3","",""
"01/10/1945","03:15:00.00","-6.2","-77.3","40","3.8","",""
"01/10/1945","05:15:00.00","-6.47","-77.17","40","3.6","",""
"02/10/1945","22:43:00.00","-16.2","-71.8","30","3.7","",""
"05/10/1945","00:30:00.00","-12","-77.8","40","4.6","",""
"05/10/1945","04:15:00.00","-6.47","-77.17","40","4.4","",""
"05/10/1945","11:15:00.00","-6.47","-77.17","40","4.1","",""
"08/10/1945","04:05:00.00","-12","-77.8","40","4.3","",""
"17/10/1945","16:50:00.00","-17","-72.2","60","4.1","",""
"20/10/1945","12:00:00.00","-12.1","-77.6","30","4.5","",""
"21/10/1945","12:45:00.00","-10.8","-78.2","50","4","",""
"24/10/1945","21:15:00.00","-3.5","-80.7","40","3.6","",""
"28/10/1945","07:20:00.00","-17","-70.9","35","3.2","",""
"31/10/1945","10:23:00.00","-3.5","-80.7","40","4.1","",""
"06/11/1945","02:35:00.00","-7.3","-78.5","20","3.3","",""
"12/11/1945","15:34:00.00","-14.9","-75.1","90","4.9","",""
"21/11/1945","17:00:00.00","-12.5","-76.3","100","5","",""
"21/11/1945","18:55:00.00","-13.3","-76.2","90","4.4","",""
"22/11/1945","07:07:00.00","-13.6","-76.6","60","4.4","",""
"26/11/1945","01:03:58.00","-11","-69","700","","6.1",""
"27/11/1945","01:30:00.00","-15.6","-74.8","60","4.3","",""
"27/11/1945","15:55:00.00","-13","-76.2","80","4.2","",""
"28/11/1945","13:56:00.00","-12","-77.8","40","4.3","",""
"30/11/1945","08:40:00.00","-17","-71.2","30","3.8","",""
"07/12/1945","02:00:00.00","-13.5","-75.26","25","3.4","",""
"12/12/1945","08:25:00.00","-12","-77.8","40","4.3","",""
"15/12/1945","01:15:00.00","-13.5","-75.26","30","3","",""
"15/12/1945","05:32:00.00","-6.2","-77.3","40","4.1","",""
"20/12/1945","07:00:00.00","-16.5","-72.1","15","4.1","",""
"21/12/1945","12:56:00.00","-12","-77.8","40","4.3","",""
"29/12/1945","01:00:00.00","-10.6","-75.65","30","4.2","",""
"01/01/1946","15:25:00.00","-14.9","-75.1","90","4.7","",""
"05/01/1946","07:38:00.00","-10.6","-75.65","25","4.4","",""
"15/01/1946","08:55:00.00","-12","-77.8","40","4.3","",""
"05/02/1946","00:30:00.00","-15.8","-74.6","50","4.3","",""
"06/02/1946","22:52:00.00","-11.8","-75.1","40","3.4","",""
"08/02/1946","22:00:00.00","-12","-77.8","40","4.3","",""
"15/02/1946","01:30:00.00","-13","-76.2","80","4.7","",""
"17/02/1946","08:40:00.00","-5.65","-78","40","4.4","",""
"17/02/1946","23:14:00.00","-12","-77.5","40","4.1","",""
"21/02/1946","10:48:00.00","-13.57","-71.96","25","3.4","",""
"06/03/1946","02:15:00.00","-11.8","-77.5","40","3.8","",""
"10/03/1946","04:24:00.00","-11.15","-75.9","30","3.9","",""
"18/03/1946","10:25:00.00","-4.4","-81.6","30","4.6","",""
"27/03/1946","15:30:00.00","-15.6","-74.8","50","4.2","",""
"04/04/1946","15:48:00.00","-9.8","-78.6","50","4.6","",""
"06/04/1946","17:50:00.00","-12","-77.8","40","4.3","",""
"09/04/1946","10:50:00.00","-12","-77.8","40","4.3","",""
"13/04/1946","18:00:00.00","-15.6","-74.8","60","4.3","",""
"16/04/1946","23:30:00.00","-15.6","-74.8","60","4.3","",""
"17/04/1946","09:40:00.00","-12","-77.8","40","4.3","",""
"17/04/1946","17:30:00.00","-13.44","-72.51","25","3.6","",""
"05/05/1946","10:00:00.00","-13.5","-76","90","4.2","",""
